filename,document_type,source_dataset,authenticity,width,height,file_size_bytes
rahunok/rahunok_0000.png,рахунок,RVL-CDIP,,802,1000,100163
rahunok/rahunok_0001.png,рахунок,RVL-CDIP,,777,1000,198897
rahunok/rahunok_0002.png,рахунок,RVL-CDIP,,754,1000,349049
rahunok/rahunok_0003.png,рахунок,RVL-CDIP,,776,1000,136111
rahunok/rahunok_0004.png,рахунок,RVL-CDIP,,775,1000,188636
rahunok/rahunok_0005.png,рахунок,RVL-CDIP,,777,1000,362129
rahunok/rahunok_0006.png,рахунок,RVL-CDIP,,754,1000,109755
rahunok/rahunok_0007.png,рахунок,RVL-CDIP,,762,1000,142980
rahunok/rahunok_0008.png,рахунок,RVL-CDIP,,767,1000,159303
rahunok/rahunok_0009.png,рахунок,RVL-CDIP,,754,1000,235243
rahunok/rahunok_0010.png,рахунок,RVL-CDIP,,762,1000,175521
rahunok/rahunok_0011.png,рахунок,RVL-CDIP,,738,1000,205941
rahunok/rahunok_0012.png,рахунок,RVL-CDIP,,786,1000,156732
rahunok/rahunok_0013.png,рахунок,RVL-CDIP,,754,1000,162672
rahunok/rahunok_0014.png,рахунок,RVL-CDIP,,777,1000,150359
rahunok/rahunok_0015.png,рахунок,RVL-CDIP,,777,1000,258873
rahunok/rahunok_0016.png,рахунок,RVL-CDIP,,754,1000,247195
rahunok/rahunok_0017.png,рахунок,RVL-CDIP,,779,1000,373137
rahunok/rahunok_0018.png,рахунок,RVL-CDIP,,762,1000,139390
rahunok/rahunok_0019.png,рахунок,RVL-CDIP,,762,1000,142258
rahunok/rahunok_0020.png,рахунок,RVL-CDIP,,762,1000,158845
rahunok/rahunok_0021.png,рахунок,RVL-CDIP,,754,1000,107295
rahunok/rahunok_0022.png,рахунок,RVL-CDIP,,772,1000,120316
rahunok/rahunok_0023.png,рахунок,RVL-CDIP,,776,1000,174850
rahunok/rahunok_0024.png,рахунок,RVL-CDIP,,754,1000,268216
rahunok/rahunok_0025.png,рахунок,RVL-CDIP,,787,1000,96868
rahunok/rahunok_0026.png,рахунок,RVL-CDIP,,754,1000,168383
rahunok/rahunok_0027.png,рахунок,RVL-CDIP,,778,1000,292679
rahunok/rahunok_0028.png,рахунок,RVL-CDIP,,762,1000,77672
rahunok/rahunok_0029.png,рахунок,RVL-CDIP,,770,1000,117619
rahunok/rahunok_0030.png,рахунок,RVL-CDIP,,762,1000,167124
rahunok/rahunok_0031.png,рахунок,RVL-CDIP,,754,1000,177316
rahunok/rahunok_0032.png,рахунок,RVL-CDIP,,767,1000,151746
rahunok/rahunok_0033.png,рахунок,RVL-CDIP,,762,1000,110628
rahunok/rahunok_0034.png,рахунок,RVL-CDIP,,754,1000,346818
rahunok/rahunok_0035.png,рахунок,RVL-CDIP,,754,1000,154010
rahunok/rahunok_0036.png,рахунок,RVL-CDIP,,754,1000,93289
rahunok/rahunok_0037.png,рахунок,RVL-CDIP,,754,1000,203935
rahunok/rahunok_0038.png,рахунок,RVL-CDIP,,754,1000,165616
rahunok/rahunok_0039.png,рахунок,RVL-CDIP,,754,1000,187868
rahunok/rahunok_0040.png,рахунок,RVL-CDIP,,777,1000,177918
rahunok/rahunok_0041.png,рахунок,RVL-CDIP,,762,1000,60395
rahunok/rahunok_0042.png,рахунок,RVL-CDIP,,802,1000,210935
rahunok/rahunok_0043.png,рахунок,RVL-CDIP,,773,1000,491050
rahunok/rahunok_0044.png,рахунок,RVL-CDIP,,777,1000,402649
rahunok/rahunok_0045.png,рахунок,RVL-CDIP,,754,1000,111236
rahunok/rahunok_0046.png,рахунок,RVL-CDIP,,754,1000,170575
rahunok/rahunok_0047.png,рахунок,RVL-CDIP,,762,1000,138888
rahunok/rahunok_0048.png,рахунок,RVL-CDIP,,754,1000,109914
rahunok/rahunok_0049.png,рахунок,RVL-CDIP,,762,1000,445176
rahunok/rahunok_0050.png,рахунок,RVL-CDIP,,754,1000,208274
rahunok/rahunok_0051.png,рахунок,RVL-CDIP,,754,1000,246806
rahunok/rahunok_0052.png,рахунок,RVL-CDIP,,777,1000,213669
rahunok/rahunok_0053.png,рахунок,RVL-CDIP,,754,1000,215969
rahunok/rahunok_0054.png,рахунок,RVL-CDIP,,754,1000,524068
rahunok/rahunok_0055.png,рахунок,RVL-CDIP,,754,1000,60948
rahunok/rahunok_0056.png,рахунок,RVL-CDIP,,754,1000,68941
rahunok/rahunok_0057.png,рахунок,RVL-CDIP,,775,1000,155053
rahunok/rahunok_0058.png,рахунок,RVL-CDIP,,777,1000,226357
rahunok/rahunok_0059.png,рахунок,RVL-CDIP,,754,1000,212472
rahunok/rahunok_0060.png,рахунок,RVL-CDIP,,754,1000,183959
rahunok/rahunok_0061.png,рахунок,RVL-CDIP,,777,1000,308008
rahunok/rahunok_0062.png,рахунок,RVL-CDIP,,763,1000,154052
rahunok/rahunok_0063.png,рахунок,RVL-CDIP,,754,1000,104365
rahunok/rahunok_0064.png,рахунок,RVL-CDIP,,754,1000,135253
rahunok/rahunok_0065.png,рахунок,RVL-CDIP,,785,1000,250781
rahunok/rahunok_0066.png,рахунок,RVL-CDIP,,777,1000,325648
rahunok/rahunok_0067.png,рахунок,RVL-CDIP,,772,1000,360898
rahunok/rahunok_0068.png,рахунок,RVL-CDIP,,777,1000,259486
rahunok/rahunok_0069.png,рахунок,RVL-CDIP,,754,1000,328851
rahunok/rahunok_0070.png,рахунок,RVL-CDIP,,813,1000,203505
rahunok/rahunok_0071.png,рахунок,RVL-CDIP,,777,1000,176045
rahunok/rahunok_0072.png,рахунок,RVL-CDIP,,754,1000,157891
rahunok/rahunok_0073.png,рахунок,RVL-CDIP,,777,1000,237808
rahunok/rahunok_0074.png,рахунок,RVL-CDIP,,754,1000,100443
rahunok/rahunok_0075.png,рахунок,RVL-CDIP,,777,1000,146903
rahunok/rahunok_0076.png,рахунок,RVL-CDIP,,754,1000,80362
rahunok/rahunok_0077.png,рахунок,RVL-CDIP,,808,1000,620962
rahunok/rahunok_0078.png,рахунок,RVL-CDIP,,754,1000,198063
