filename,document_type,source_dataset,authenticity,width,height,file_size_bytes,aspect_ratio,mean_brightness,std_brightness,dark_pixel_ratio,color_saturation_mean
rahunok/rahunok_0000.png,рахунок,RVL-CDIP,,802,1000,100163,0.802,250.87102119700748,26.578633941083485,0.015261845386533666,0.0
rahunok/rahunok_0001.png,рахунок,RVL-CDIP,,777,1000,198897,0.777,234.1956241956242,65.28471613656995,0.08022393822393822,0.0
rahunok/rahunok_0002.png,рахунок,RVL-CDIP,,754,1000,349049,0.754,231.76577453580902,62.040539479943504,0.08344694960212201,0.0
rahunok/rahunok_0003.png,рахунок,RVL-CDIP,,776,1000,136111,0.776,246.79900128865978,39.76648984017525,0.03168298969072165,0.0
rahunok/rahunok_0004.png,рахунок,RVL-CDIP,,775,1000,188636,0.775,244.55639096774195,42.62921063559114,0.03992,0.0
rahunok/rahunok_0005.png,рахунок,RVL-CDIP,,777,1000,362129,0.777,245.13606435006434,37.58229317942048,0.028882882882882883,0.0
rahunok/rahunok_0006.png,рахунок,RVL-CDIP,,754,1000,109755,0.754,248.29549602122015,35.176456820751376,0.025830238726790453,0.0
rahunok/rahunok_0007.png,рахунок,RVL-CDIP,,762,1000,142980,0.762,224.93609186351705,78.34672692054318,0.11760761154855644,0.0
rahunok/rahunok_0008.png,рахунок,RVL-CDIP,,767,1000,159303,0.767,246.58745110821383,38.87913273818183,0.031985658409387226,0.0
rahunok/rahunok_0009.png,рахунок,RVL-CDIP,,754,1000,235243,0.754,242.17153050397877,43.37266189776546,0.047563660477453584,0.0
rahunok/rahunok_0010.png,рахунок,RVL-CDIP,,762,1000,175521,0.762,217.5041784776903,86.08100994922692,0.146503937007874,0.0
rahunok/rahunok_0011.png,рахунок,RVL-CDIP,,738,1000,205941,0.738,247.14064769647698,34.27527775788181,0.029437669376693766,0.0
rahunok/rahunok_0012.png,рахунок,RVL-CDIP,,786,1000,156732,0.786,248.810524173028,31.062289871991954,0.02352417302798982,0.0
rahunok/rahunok_0013.png,рахунок,RVL-CDIP,,754,1000,162672,0.754,247.00432360742707,36.96318316498704,0.029053050397877984,0.0
rahunok/rahunok_0014.png,рахунок,RVL-CDIP,,777,1000,150359,0.777,149.09228314028314,123.3776622738982,0.41517889317889317,0.0
rahunok/rahunok_0015.png,рахунок,RVL-CDIP,,777,1000,258873,0.777,213.7346640926641,89.08133804910808,0.16156113256113255,0.0
rahunok/rahunok_0016.png,рахунок,RVL-CDIP,,754,1000,247195,0.754,242.3562944297082,46.43683469632245,0.04611936339522547,0.0
rahunok/rahunok_0017.png,рахунок,RVL-CDIP,,779,1000,373137,0.779,239.48059306803594,48.92007763324927,0.04881643132220796,0.0
rahunok/rahunok_0018.png,рахунок,RVL-CDIP,,762,1000,139390,0.762,241.4814475065617,52.23164628510914,0.05233202099737533,0.0
rahunok/rahunok_0019.png,рахунок,RVL-CDIP,,762,1000,142258,0.762,247.43966404199475,36.52322854142597,0.02947244094488189,0.0
rahunok/rahunok_0020.png,рахунок,RVL-CDIP,,762,1000,158845,0.762,217.79789763779527,86.304589813501,0.14571391076115486,0.0
rahunok/rahunok_0021.png,рахунок,RVL-CDIP,,754,1000,107295,0.754,248.1891326259947,35.310718057717835,0.025580901856763927,0.0
rahunok/rahunok_0022.png,рахунок,RVL-CDIP,,772,1000,120316,0.772,247.02499093264248,38.7850069659612,0.0311580310880829,0.0
rahunok/rahunok_0023.png,рахунок,RVL-CDIP,,776,1000,174850,0.776,244.9052719072165,43.48271207648601,0.03871907216494845,0.0
rahunok/rahunok_0024.png,рахунок,RVL-CDIP,,754,1000,268216,0.754,240.87874137931036,47.330169527908346,0.05140053050397878,0.0
rahunok/rahunok_0025.png,рахунок,RVL-CDIP,,787,1000,96868,0.787,250.40965692503175,28.69954394900778,0.017829733163913595,0.0
rahunok/rahunok_0026.png,рахунок,RVL-CDIP,,754,1000,168383,0.754,243.4387427055703,42.66072922297106,0.044051724137931035,0.0
rahunok/rahunok_0027.png,рахунок,RVL-CDIP,,778,1000,292679,0.778,241.02834575835476,48.41355978512747,0.05429177377892031,0.0
rahunok/rahunok_0028.png,рахунок,RVL-CDIP,,762,1000,77672,0.762,217.3528188976378,88.47946560522446,0.14835958005249344,0.0
rahunok/rahunok_0029.png,рахунок,RVL-CDIP,,770,1000,117619,0.77,247.89877272727273,36.6955231856752,0.027346753246753248,0.0
rahunok/rahunok_0030.png,рахунок,RVL-CDIP,,762,1000,167124,0.762,218.4037309711286,85.38305492445257,0.14298031496062993,0.0
rahunok/rahunok_0031.png,рахунок,RVL-CDIP,,754,1000,177316,0.754,244.2430305039788,43.487293288424446,0.040956233421750664,0.0
rahunok/rahunok_0032.png,рахунок,RVL-CDIP,,767,1000,151746,0.767,246.7103142112125,38.74690610526828,0.03115775749674055,0.0
